xg,yg,hs,gobs,yr,xm,ym,hdtbm,hnew,gth,fwc,fa,te,ba
      16.547188,      41.288428,     -47.000000,  980369.210000,    1960.000000,  629554.073904, 4571930.484643,     -40.099998,     -40.099998,  980284.140953,       8.893370,      60.755677,      -0.076971,      60.832649
      16.545244,      41.322039,     -52.000000,  980370.880000,    1960.000000,  629324.825518, 4575659.139077,     -51.599998,     -52.000000,  980287.156185,      11.532550,      56.771266,      -0.118812,      56.890078
      16.487742,      41.383429,     -56.000000,  980373.700000,    1960.000000,  624395.233892, 4582390.545100,     -55.300003,     -56.000000,  980292.664577,      12.419669,      53.195754,      -0.119914,      53.315668
      16.457463,      41.311761,     -27.000000,  980368.940000,    1960.000000,  621997.183838, 4574390.894405,     -24.150002,     -27.000000,  980286.234080,       5.988055,      61.297865,      -0.418172,      61.716037
      16.421072,      41.356484,     -30.200000,  980367.530000,    1960.000000,  618869.677685, 4579305.465009,     -32.599998,     -30.200000,  980290.246609,       6.697750,      55.165641,      -0.196437,      55.362078
      16.473019,      41.359540,     -45.200000,  980369.960000,    1960.000000,  623209.281290, 4579717.291582,     -44.250000,     -45.200000,  980290.520840,      10.024447,      53.994713,      -0.159211,      54.153924
      16.527465,      41.354540,     -56.100000,  980371.490000,    1960.000000,  627773.283590, 4579241.007754,     -57.200001,     -56.100000,  980290.072195,      12.441847,      53.555958,      -0.107258,      53.663216
      16.467741,      41.418429,     -53.600000,  980371.660000,    1960.000000,  622656.999761, 4586247.825188,     -55.699997,     -53.600000,  980295.805800,      11.887398,      48.546802,      -0.159532,      48.706334
      16.407738,      41.428429,     -43.600000,  980372.590000,    1960.000000,  617624.515756, 4587274.780577,     -43.649998,     -43.600000,  980296.703373,       9.669600,      50.797027,      -0.019213,      50.816240
      16.355514,      41.445651,     -37.000000,  980373.990000,    1960.000000,  613230.858644, 4589117.165359,     -35.099998,     -37.000000,  980298.249279,       8.205853,      52.114868,      -0.225935,      52.340803
      16.306346,      41.459818,     -30.400000,  980368.880000,    1960.000000,  609099.775800, 4590626.851665,     -30.049999,     -30.400000,  980299.521046,       6.742106,      47.196848,      -0.063215,      47.260063
      16.306346,      41.421207,     -25.800000,  980373.660000,    1960.000000,  609164.487235, 4586340.149764,     -26.100000,     -25.800000,  980296.055111,       5.721919,      56.462970,      -0.035625,      56.498594
      16.304679,      41.388429,     -22.800000,  980370.680000,    1960.000000,  609080.002845, 4582698.964963,     -22.200001,     -22.800000,  980293.113254,       5.056580,      57.090167,      -0.093350,      57.183517
      16.317735,      41.350928,     -13.000000,  980369.210000,    1960.000000,  610234.945445, 4578552.179429,     -16.600000,     -16.600000,  980289.748137,       3.681545,      60.360318,      -0.052827,      60.413145
      16.344402,      41.376762,     -23.200000,  980368.470000,    1960.000000,  612421.330347, 4581454.454480,     -23.700001,     -23.200000,  980292.066244,       5.145291,      55.838464,      -0.066296,      55.904761
      16.352181,      41.335650,     -16.600000,  980369.420000,    1960.000000,  613142.979290, 4576900.370197,     -15.950001,     -16.600000,  980288.377317,       3.681545,      61.941138,      -0.151594,      62.092732
      16.397183,      41.316761,     -15.000000,  980367.320000,    1960.000000,  616942.344717, 4574862.984402,     -16.250000,     -15.000000,  980286.682635,       3.326697,      61.890668,      -0.141083,      62.031751
      16.383293,      41.365651,     -27.400000,  980369.080000,    1960.000000,  615693.188964, 4580272.080046,     -27.200001,     -27.400000,  980291.069183,       6.076767,      56.514050,      -0.060998,      56.575048
      16.388293,      41.395373,     -33.600000,  980366.650000,    1960.000000,  616058.519543, 4583578.568697,     -33.699997,     -33.600000,  980293.736466,       7.451801,      50.041733,      -0.037198,      50.078931
      16.349402,      41.412873,     -30.100000,  980368.720000,    1960.000000,  612777.004916, 4585470.077672,     -30.100000,     -30.100000,  980295.307094,       6.675572,      51.317334,      -0.021264,      51.338597
      16.272456,      41.356483,     -10.400000,  980369.830000,    1960.000000,  606437.948246, 4579112.311904,     -10.800000,     -10.400000,  980290.246577,       2.306510,      61.856913,      -0.063314,      61.920227
      16.273289,      41.412040,     -22.600000,  980372.310000,    1960.000000,  606416.978095, 4585281.250772,     -22.350000,     -22.600000,  980295.232313,       5.012224,      56.645464,      -0.052880,      56.698344
      16.257733,      41.441484,     -23.800000,  980369.080000,    1960.000000,  605069.373474, 4588531.189238,     -23.100000,     -23.800000,  980297.875200,       5.278359,      50.506441,      -0.096637,      50.603078
      16.233010,      41.380372,     -15.000000,  980368.790000,    1960.000000,  603100.626917, 4581716.808173,     -15.600000,     -15.000000,  980292.390272,       3.326697,      57.653031,      -0.071329,      57.724360
      16.210231,      41.367594,      -3.500000,  980369.860000,    1960.000000,  601215.705790, 4580271.324359,      -5.850000,      -5.850000,  980291.243591,       1.297412,      61.898997,      -0.089647,      61.988645
      16.229398,      41.402040,     -19.600000,  980370.080000,    1960.000000,  602764.444529, 4584118.018490,     -18.500000,     -19.600000,  980294.334784,       4.346884,      55.978331,      -0.143033,      56.121364
      16.263844,      41.385372,     -18.900000,  980368.290000,    1960.000000,  605670.839678, 4582309.067562,     -19.049999,     -18.900000,  980292.838988,       4.191638,      55.839373,      -0.043909,      55.883283
      16.188285,      41.438151,     -18.800000,  980373.200000,    1960.000000,  599272.788414, 4588079.157026,     -18.900000,     -18.800000,  980297.575997,       4.169460,      56.034542,      -0.031794,      56.066337
      16.185508,      41.397594,     -15.700000,  980370.470000,    1960.000000,  599102.432549, 4583573.376845,     -14.700001,     -15.700000,  980293.935841,       3.481943,      57.632216,      -0.136747,      57.768963
      16.222731,      41.470373,     -22.300000,  980371.090000,    1960.000000,  602100.022676, 4591696.615289,     -21.600000,     -22.300000,  980300.468608,       4.945690,      50.255703,      -0.095721,      50.351423
      16.279123,      41.483430,     -27.800000,  980365.260000,    1960.000000,  606787.421397, 4593214.244385,     -27.350000,     -27.800000,  980301.640790,       6.165479,      42.033731,      -0.066584,      42.100316
      16.406071,      41.472041,     -46.800000,  980370.540000,    1960.000000,  617406.532367, 4592114.365268,     -47.650002,     -46.800000,  980300.618307,      10.379295,      44.122398,      -0.076297,      44.198695
      16.460518,      41.449263,     -52.500000,  980369.660000,    1960.000000,  621995.660752, 4589660.808249,     -57.599998,     -57.599998,  980298.573455,      12.774516,      42.892029,      -0.029668,      42.921697
      16.409405,      41.378707,     -15.000000,  980368.230000,    1960.000000,  617853.570760, 4581756.773619,     -36.250000,     -36.250000,  980292.240802,       8.039518,      52.529680,      -0.036966,      52.566646
      16.143007,      41.413706,     -13.200000,  980369.880000,    1960.000000,  595525.848205, 4585314.391544,     -12.950000,     -13.200000,  980295.381904,       2.927493,      56.150602,      -0.071075,      56.221677
      16.120783,      41.432595,     -13.700000,  980370.420000,    1960.000000,  593641.331126, 4587387.084911,     -13.600000,     -13.700000,  980297.077257,       3.038383,      54.884360,      -0.035900,      54.920260
      16.078281,      41.440651,     -12.000000,  980371.060000,    1960.000000,  590079.131131, 4588236.362306,     -11.450000,     -12.000000,  980297.800385,       2.661358,      55.178257,      -0.102889,      55.281146
      16.029113,      41.460095,     -11.800000,  980372.810000,    1960.000000,  585945.940942, 4590345.052112,     -11.100000,     -11.800000,  980299.545852,       2.617002,      55.227146,      -0.112668,      55.339814
      15.980222,      41.483429,     -11.200000,  980373.550000,    1960.000000,  581833.434289, 4592888.212235,     -11.000000,     -11.200000,  980301.640723,       2.483934,      54.005343,      -0.085149,      54.090492
      16.031057,      41.498984,     -14.000000,  980375.020000,    1960.000000,  586056.819301, 4594664.527074,     -15.050000,     -14.000000,  980303.037354,       3.104917,      53.457728,      -0.126902,      53.584631
      16.082726,      41.478984,     -16.200000,  980373.560000,    1960.000000,  590397.215644, 4592496.806909,     -14.900000,     -16.200000,  980301.241666,       3.592833,      53.305501,      -0.181517,      53.487018
      16.143007,      41.464540,     -17.400000,  980371.910000,    1960.000000,  595451.308145, 4590957.969682,     -17.000000,     -17.400000,  980299.944925,       3.858969,      52.686107,      -0.073716,      52.759823
      16.181341,      41.504262,     -19.200000,  980371.350000,    1960.000000,  598592.376148, 4595411.037645,     -19.200001,     -19.200000,  980303.511300,       4.258172,      48.160528,      -0.031768,      48.192296
      16.221343,      41.441207,     -21.200000,  980374.390000,    1960.000000,  602029.747132, 4588456.890005,     -21.000000,     -21.200000,  980297.850327,       4.701732,      56.417941,      -0.044429,      56.462370
      16.188841,      41.475651,     -20.000000,  980373.730000,    1960.000000,  599262.026473, 4592243.138606,     -20.400000,     -20.000000,  980300.942452,       4.435596,      52.931952,      -0.050360,      52.982312
      15.971888,      41.620930,     -12.100000,  980394.650000,    1960.000000,  580965.811530, 4608146.061780,     -10.000000,     -12.100000,  980313.989592,       2.683536,      62.556872,      -0.784385,      63.341257
      16.039390,      41.598985,     -13.400000,  980384.070000,    1960.000000,  586618.728696, 4605775.209774,     -13.349999,     -13.400000,  980312.018232,       2.971849,      53.659919,      -0.230986,      53.890905
      16.006612,      41.604541,     -11.600000,  980390.940000,    1960.000000,  583879.887761, 4606359.667630,     -10.200000,     -11.600000,  980312.517316,       2.572646,      60.430038,      -0.468173,      60.898211
      16.200785,      41.682597,     -14.700000,  980408.040000,    1960.000000,  599939.657005, 4615232.840778,     -14.150000,     -14.700000,  980319.530250,       3.260163,      69.829587,      -0.252612,      70.082200
      16.191340,      41.720932,     -13.500000,  980430.980000,    1960.000000,  599094.708319, 4619478.036235,     -13.400000,     -13.500000,  980322.975233,       2.994027,      89.590740,      -0.385823,      89.976563
      16.152172,      41.707876,     -12.700000,  980424.850000,    1960.000000,  595856.061016, 4617984.106321,     -12.200000,     -12.700000,  980321.801850,       2.816604,      84.811546,      -0.592859,      85.404405
      16.111337,      41.688431,     -12.200000,  980411.280000,    1960.000000,  592486.608567, 4615780.638882,     -11.250000,     -12.200000,  980320.054482,       2.705714,      73.099805,      -0.736069,      73.835874
      16.081614,      41.662875,     -13.000000,  980399.310000,    1960.000000,  590048.616492, 4612911.760509,     -11.200000,     -13.000000,  980317.758070,       2.883137,      63.248792,      -0.732858,      63.981650
      16.046890,      41.646486,     -13.000000,  980396.030000,    1960.000000,  587179.751971, 4611056.452788,     -11.450000,     -13.000000,  980316.285515,       2.883137,      61.441348,      -0.721147,      62.162495
      16.005501,      41.634541,     -12.400000,  980395.640000,    1960.000000,  583748.466571, 4609689.329139,     -10.100000,     -12.400000,  980315.212404,       2.750070,      62.257526,      -0.866766,      63.124292
      16.093004,      41.619820,     -14.200000,  980383.250000,    1960.000000,  591057.459477, 4608143.524417,     -14.000000,     -14.200000,  980313.889811,       3.149273,      50.790915,      -0.245539,      51.036454
      16.108838,      41.589819,     -14.500000,  980378.810000,    1960.000000,  592419.381612, 4604829.619141,     -14.200000,     -14.500000,  980311.194897,       3.215807,      48.979296,      -0.164425,      49.143720
      16.195785,      41.593708,     -16.000000,  980376.730000,    1960.000000,  599660.393359, 4605358.179823,     -17.299999,     -16.000000,  980311.544248,       3.548477,      46.217275,      -0.161172,      46.378447
      16.143839,      41.551763,     -16.200000,  980373.450000,    1960.000000,  595392.705724, 4600642.557587,     -16.549999,     -16.200000,  980307.776816,       3.592833,      46.660351,      -0.083623,      46.743974
      16.125506,      41.507595,     -17.300000,  980373.980000,    1960.000000,  593927.597511, 4595718.888310,     -16.600000,     -17.300000,  980303.810563,       3.836791,      50.912646,      -0.122338,      51.034984
      16.081059,      41.529541,     -16.800000,  980375.910000,    1960.000000,  590187.822902, 4598107.937503,     -15.600000,     -16.800000,  980305.781144,       3.725901,      50.982955,      -0.202198,      51.185154
