or,xg,yg,fa,fa_err,xm,ym,hdtbm,te,ba
     182.852890,      16.675000,      41.841667,      66.331818,       1.003543,  639065.084372, 4633553.088719,    -115.550003,      -8.132013,      74.463831
      16.025000,      16.691667,      41.841667,      66.722122,       0.999688,  640448.861313, 4633580.216460,    -129.799988,      -8.904459,      75.626581
      41.841667,      16.708333,      41.841667,      66.947319,       1.000008,  641832.639573, 4633607.612977,    -134.550003,      -9.429163,      76.376482
     180.274948,      16.725000,      41.841667,      66.404114,       0.999911,  643216.419182, 4633635.278275,    -140.050003,      -9.845972,      76.250086
      23.279287,      16.741667,      41.841667,      65.482681,       1.001562,  644600.200145, 4633663.212359,    -144.199997,     -10.161908,      75.644589
     179.897018,      16.758333,      41.841667,      64.749130,       0.999037,  645983.982465, 4633691.415236,    -147.600006,     -10.466236,      75.215366
      16.041667,      16.775000,      41.841667,      64.756424,       0.813114,  647367.766174, 4633719.886910,    -154.100006,     -10.951388,      75.707812
      41.841667,      16.791667,      41.841667,      65.199326,       0.799510,  648751.551274, 4633748.627388,    -164.000000,     -11.687384,      76.886709
     175.309937,      16.808333,      41.841667,      65.967529,       0.799884,  650135.337772, 4633777.636675,    -177.899994,     -12.688805,      78.656335
      19.799288,      16.825000,      41.841667,      66.247185,       0.810888,  651519.125696, 4633806.914777,    -193.600006,     -13.773962,      80.021146
     174.923798,      16.841667,      41.841667,      65.091530,       0.875686,  652902.915052, 4633836.461700,    -209.949997,     -15.030244,      80.121774
      16.058333,      15.858333,      41.825000,     132.028702,      44.771332,  571279.859892, 4630702.530357,     226.000000,      21.071434,     110.957267
      41.841667,      15.875000,      41.825000,     141.260696,      44.573433,  572663.946846, 4630716.492733,     225.000000,      21.787443,     119.473253
     168.969727,      15.891667,      41.825000,     151.478851,      45.549568,  574048.034493, 4630730.723666,     232.000000,      21.369287,     130.109564
      18.254148,      15.908333,      41.825000,     162.479797,      46.334095,  575432.122836, 4630745.223158,     366.000000,      38.290682,     124.189115
     168.631546,      15.925000,      41.825000,     172.697281,      47.118851,  576816.211906, 4630759.991213,     578.000000,      57.378504,     115.318777
      16.075000,      15.941667,      41.825000,     181.889404,      48.138615,  578200.301708, 4630775.027833,     689.000000,      73.932617,     107.956787
      41.841667,      15.958333,      41.825000,     189.090683,      48.790756,  579584.392246, 4630790.333022,     689.000000,      73.656876,     115.433807
     161.744827,      15.975000,      41.825000,     193.883194,      43.194019,  580968.483551, 4630805.906782,     696.000000,      73.557143,     120.326051
      16.889036,      15.991667,      41.825000,     195.877213,      37.375011,  582352.575626, 4630821.749116,     792.000000,      84.380752,     111.496461
     161.436508,      16.008333,      41.825000,     195.109314,      31.625835,  583736.668478, 4630837.860028,     747.000000,      80.193939,     114.915375
      16.091667,      16.025000,      41.825000,     191.906372,      25.790997,  585120.762135, 4630854.239522,     694.000000,      73.411301,     118.495071
      41.841667,      16.041667,      41.825000,     186.367599,      20.293552,  586504.856603, 4630870.887599,     646.000000,      68.558081,     117.809518
     154.313370,      16.058333,      41.825000,     179.393066,      18.429361,  587888.951886, 4630887.804264,     570.000000,      59.169322,     120.223745
      15.533338,      16.075000,      41.825000,     171.422058,      16.779591,  589273.048014, 4630904.989520,     512.000000,      52.476679,     118.945379
     153.990891,      16.091667,      41.825000,     162.906647,      15.155200,  590657.144992, 4630922.443369,     463.000000,      48.645747,     114.260900
      16.108333,      16.108333,      41.825000,     154.576660,      13.360821,  592041.242825, 4630940.165817,     322.000000,      33.108393,     121.468267
      41.841667,      16.125000,      41.825000,     146.808990,      11.682989,  593425.341543, 4630958.156866,     305.000000,      31.891371,     114.917620
     147.088593,      16.141667,      41.825000,     139.726746,      10.783566,  594809.441150, 4630976.416520,     251.000000,      24.482176,     115.244569
      14.070746,      16.158333,      41.825000,     133.359070,       9.985933,  596193.541651, 4630994.944782,     244.000000,      25.053516,     108.305554
     146.671600,      16.175000,      41.825000,     127.030273,       9.032519,  597577.643076, 4631013.741656,     123.000000,      11.946006,     115.084267
      16.125000,      16.191667,      41.825000,     119.973785,       8.196004,  598961.745429, 4631032.807146,      84.000000,       7.713383,     112.260402
      41.841667,      16.208333,      41.825000,     111.865089,       7.409336,  600345.848717, 4631052.141256,     -12.299999,      -1.359934,     113.225023
     140.433533,      16.225000,      41.825000,     103.817505,       6.601320,  601729.952967, 4631071.743990,     -14.500000,      -1.329665,     105.147170
      12.775648,      16.241667,      41.825000,      97.339142,       5.797953,  603114.058186, 4631091.615350,     -17.100000,      -1.416381,      98.755523
     139.970901,      16.258333,      41.825000,      93.033073,       5.000416,  604498.164378, 4631111.755342,     -19.500000,      -1.533326,      94.566399
      16.141667,      16.275000,      41.825000,      89.694954,       4.177544,  605882.271572, 4631132.163970,     -22.000000,      -1.667370,      91.362324
      41.841667,      16.291667,      41.825000,      86.161667,       3.430904,  607266.379774, 4631152.841237,     -24.500000,      -1.826319,      87.987985
     134.817413,      16.308333,      41.825000,      82.695015,       3.012532,  608650.488989, 4631173.787147,     -29.549999,      -2.160500,      84.855515
      11.714508,      16.325000,      41.825000,      80.031174,       2.772801,  610034.599245, 4631195.001706,     -37.099998,      -2.659073,      82.690247
     134.190262,      16.341667,      41.825000,      78.025505,       2.415649,  611418.710548, 4631216.484916,     -44.200001,      -3.136256,      81.161761
      16.158333,      16.358333,      41.825000,      75.935905,       1.987409,  612802.822903, 4631238.236782,     -51.049999,      -3.560034,      79.495939
      41.841667,      16.375000,      41.825000,      73.476448,       1.609734,  614186.936339, 4631260.257309,     -58.150002,      -4.032301,      77.508749
     129.992508,      16.391667,      41.825000,      71.272499,       1.423134,  615571.050861, 4631282.546501,     -63.549999,      -4.426850,      75.699349
      10.670071,      16.408333,      41.825000,      69.846504,       1.356412,  616955.166474, 4631305.104362,     -69.599998,      -4.825685,      74.672189
     129.438873,      16.425000,      41.825000,      68.966446,       1.242966,  618339.283208, 4631327.930897,     -74.800003,      -5.177961,      74.144407
      16.175000,      16.441667,      41.825000,      68.223579,       1.147044,  619723.401068, 4631351.026110,     -78.099998,      -5.419233,      73.642812
      41.841667,      16.458333,      41.825000,      67.580879,       1.037528,  621107.520057, 4631374.390007,     -81.500000,      -5.657031,      73.237910
     124.931252,      16.475000,      41.825000,      67.268105,       0.950295,  622491.640207, 4631398.022590,     -84.900002,      -5.887108,      73.155212
       9.626045,      16.491667,      41.825000,      67.656662,       0.826167,  623875.761521, 4631421.923867,     -88.199997,      -6.113503,      73.770165
     125.062721,      16.508333,      41.825000,      68.403282,       0.800957,  625259.884005, 4631446.093840,     -90.900002,      -6.305650,      74.708932
      16.191667,      16.525000,      41.825000,      68.626984,       0.765276,  626644.007688, 4631470.532515,     -93.300003,      -6.481914,      75.108897
      41.841667,      16.541667,      41.825000,      68.002090,       0.648736,  628028.132575, 4631495.239897,     -95.500000,      -6.640314,      74.642404
     118.494865,      16.558333,      41.825000,      66.914040,       0.768649,  629412.258671, 4631520.215990,     -98.000000,      -6.817324,      73.731364
       8.598678,      16.575000,      41.825000,      66.261993,       0.808214,  630796.386005, 4631545.460801,    -100.149994,      -6.974981,      73.236974
     119.836441,      16.591667,      41.825000,      66.140198,       0.799637,  632180.514583, 4631570.974332,    -102.550003,      -7.146478,      73.286675
